DATE,M2SL_NBD20090101
1978-05-01,15.86101
1978-06-01,15.95783
1978-07-01,16.02561
1978-08-01,16.13938
1978-09-01,16.27856
1978-10-01,16.36692
1978-11-01,16.44922
1978-12-01,16.53273
1979-01-01,16.60050
1979-02-01,16.67554
1979-03-01,16.79657
1979-04-01,16.96965
1979-05-01,17.06768
1979-06-01,17.22260
1979-07-01,17.36541
1979-08-01,17.50823
1979-09-01,17.59900
1979-10-01,17.67525
1979-11-01,17.74182
1979-12-01,17.83622
1980-01-01,17.94515
1980-02-01,18.08918
1980-03-01,18.15211
1980-04-01,18.18116
1980-05-01,18.30340
1980-06-01,18.50794
1980-07-01,18.70522
1980-08-01,18.89887
1980-09-01,19.05015
1980-10-01,19.18087
1980-11-01,19.31400
1980-12-01,19.36241
1981-01-01,19.44834
1981-02-01,19.59116
1981-03-01,19.80780
1981-04-01,20.08133
1981-05-01,20.14185
1981-06-01,20.21568
1981-07-01,20.35607
1981-08-01,20.50615
1981-09-01,20.64775
1981-10-01,20.83898
1981-11-01,21.01205
1981-12-01,21.24685
1982-01-01,21.42719
1982-02-01,21.47681
1982-03-01,21.62205
1982-04-01,21.83264
1982-05-01,21.97182
1982-06-01,22.10012
1982-07-01,22.16668
1982-08-01,22.33249
1982-09-01,22.49225
1982-10-01,22.62902
1982-11-01,22.79846
1982-12-01,23.06715
1983-01-01,23.71466
1983-02-01,24.16731
1983-03-01,24.39001
1983-04-01,24.55219
1983-05-01,24.72768
1983-06-01,24.85355
1983-07-01,24.99032
1983-08-01,25.10167
1983-09-01,25.21301
1983-10-01,25.40787
1983-11-01,25.56521
1983-12-01,25.70076
1984-01-01,25.87868
1984-02-01,26.12074
1984-03-01,26.32649
1984-04-01,26.52619
1984-05-01,26.67627
1984-06-01,26.80940
1984-07-01,26.91107
1984-08-01,26.99458
1984-09-01,27.16402
1984-10-01,27.33951
1984-11-01,27.61183
1984-12-01,27.91441
1985-01-01,28.22909
1985-02-01,28.49172
1985-03-01,28.63817
1985-04-01,28.74952
1985-05-01,28.92017
1985-06-01,29.19975
1985-07-01,29.40429
1985-08-01,29.57978
1985-09-01,29.72986
1985-10-01,29.87026
1985-11-01,29.98887
1985-12-01,30.16194
1986-01-01,30.28297
1986-02-01,30.41368
1986-03-01,30.65816
1986-04-01,30.95711
1986-05-01,31.28389
1986-06-01,31.52837
1986-07-01,31.78979
1986-08-01,32.03064
1986-09-01,32.28844
1986-10-01,32.52566
1986-11-01,32.69389
1986-12-01,33.01704
1987-01-01,33.20948
1987-02-01,33.25305
1987-03-01,33.32809
1987-04-01,33.49753
1987-05-01,33.56047
1987-06-01,33.58104
1987-07-01,33.63430
1987-08-01,33.74564
1987-09-01,33.88241
1987-10-01,34.06758
1987-11-01,34.11721
1987-12-01,34.20798
1988-01-01,34.46214
1988-02-01,34.74051
1988-03-01,34.98620
1988-04-01,35.22826
1988-05-01,35.41344
1988-06-01,35.56352
1988-07-01,35.67002
1988-08-01,35.72812
1988-09-01,35.78742
1988-10-01,35.88909
1988-11-01,36.06942
1988-12-01,36.16625
1989-01-01,36.20861
1989-02-01,36.21466
1989-03-01,36.30543
1989-04-01,36.38168
1989-05-01,36.44946
1989-06-01,36.64674
1989-07-01,36.94326
1989-08-01,37.20953
1989-09-01,37.42859
1989-10-01,37.69002
1989-11-01,37.92240
1989-12-01,38.15477
1990-01-01,38.32785
1990-02-01,38.47792
1990-03-01,38.60985
1990-04-01,38.74903
1990-05-01,38.73693
1990-06-01,38.89548
1990-07-01,39.02619
1990-08-01,39.23799
1990-09-01,39.39049
1990-10-01,39.44738
1990-11-01,39.48732
1990-12-01,39.59866
1991-01-01,39.79110
1991-02-01,39.99443
1991-03-01,40.20503
1991-04-01,40.33211
1991-05-01,40.46040
1991-06-01,40.56812
1991-07-01,40.61895
1991-08-01,40.60564
1991-09-01,40.60442
1991-10-01,40.66736
1991-11-01,40.73272
1991-12-01,40.81381
1992-01-01,40.92273
1992-02-01,41.15027
1992-03-01,41.19747
1992-04-01,41.14664
1992-05-01,41.13333
1992-06-01,41.07039
1992-07-01,41.07644
1992-08-01,41.13575
1992-09-01,41.27493
1992-10-01,41.43832
1992-11-01,41.47100
1992-12-01,41.44922
1993-01-01,41.38144
1993-02-01,41.32576
1993-03-01,41.29188
1993-04-01,41.28704
1993-05-01,41.59687
1993-06-01,41.66344
1993-07-01,41.65860
1993-08-01,41.70338
1993-09-01,41.78205
1993-10-01,41.83651
1993-11-01,41.99869
1993-12-01,42.05195
1994-01-01,42.05679
1994-02-01,42.06647
1994-03-01,42.11972
1994-04-01,42.13425
1994-05-01,42.24923
1994-06-01,42.11246
1994-07-01,42.21776
1994-08-01,42.18750
1994-09-01,42.19234
1994-10-01,42.17056
1994-11-01,42.20565
1994-12-01,42.19597
1995-01-01,42.26859
1995-02-01,42.23833
1995-03-01,42.25286
1995-04-01,42.35089
1995-05-01,42.65347
1995-06-01,42.95241
1995-07-01,43.17632
1995-08-01,43.43774
1995-09-01,43.59629
1995-10-01,43.73306
1995-11-01,43.81173
1995-12-01,43.92791
1996-01-01,44.15061
1996-02-01,44.31884
1996-03-01,44.62384
1996-04-01,44.75455
1996-05-01,44.89737
1996-06-01,45.05350
1996-07-01,45.23141
1996-08-01,45.31492
1996-09-01,45.42869
1996-10-01,45.63928
1996-11-01,45.87045
1996-12-01,46.11735
1997-01-01,46.28921
1997-02-01,46.43082
1997-03-01,46.61115
1997-04-01,46.80480
1997-05-01,46.94883
1997-06-01,47.15095
1997-07-01,47.36880
1997-08-01,47.77425
1997-09-01,47.96427
1997-10-01,48.19544
1997-11-01,48.46776
1997-12-01,48.68803
1998-01-01,48.97003
1998-02-01,49.36580
1998-03-01,49.67443
1998-04-01,49.98669
1998-05-01,50.27595
1998-06-01,50.51559
1998-07-01,50.75402
1998-08-01,51.05659
1998-09-01,51.52740
1998-10-01,52.01273
1998-11-01,52.47991
1998-12-01,52.82969
1999-01-01,53.16131
1999-02-01,53.43726
1999-03-01,53.51956
1999-04-01,53.86570
1999-05-01,54.15981
1999-06-01,54.42365
1999-07-01,54.75286
1999-08-01,54.96224
1999-09-01,55.15589
1999-10-01,55.44273
1999-11-01,55.67269
1999-12-01,56.00552
2000-01-01,56.34803
2000-02-01,56.50900
2000-03-01,56.88178
2000-04-01,57.55713
2000-05-01,57.40584
2000-06-01,57.62127
2000-07-01,57.83308
2000-08-01,58.17438
2000-09-01,58.60525
2000-10-01,58.79890
2000-11-01,58.92961
2000-12-01,59.47061
2001-01-01,60.08303
2001-02-01,60.54657
2001-03-01,61.24613
2001-04-01,62.02072
2001-05-01,61.98078
2001-06-01,62.46732
2001-07-01,62.83041
2001-08-01,63.24070
2001-09-01,64.58535
2001-10-01,64.44738
2001-11-01,64.97507
2001-12-01,65.61774
2002-01-01,65.86464
2002-02-01,66.22047
2002-03-01,66.36570
2002-04-01,66.36692
2002-05-01,66.68038
2002-06-01,66.98175
2002-07-01,67.49734
2002-08-01,68.01172
2002-09-01,68.30582
2002-10-01,68.84561
2002-11-01,69.45198
2002-12-01,69.70977
2003-01-01,70.10433
2003-02-01,70.54246
2003-03-01,70.79420
2003-04-01,71.24443
2003-05-01,71.97182
2003-06-01,72.41601
2003-07-01,72.98122
2003-08-01,73.68561
2003-09-01,73.34552
2003-10-01,73.23417
2003-11-01,73.29710
2003-12-01,73.27411
2004-01-01,73.37698
2004-02-01,73.84779
2004-03-01,74.28108
2004-04-01,74.77730
2004-05-01,75.70440
2004-06-01,75.73223
2004-07-01,75.89804
2004-08-01,76.21393
2004-09-01,76.63270
2004-10-01,76.97400
2004-11-01,77.29473
2004-12-01,77.51985
2005-01-01,77.59489
2005-02-01,77.69655
2005-03-01,77.80548
2005-04-01,77.97492
2005-05-01,78.18430
2005-06-01,78.57644
2005-07-01,78.95890
2005-08-01,79.35467
2005-09-01,79.76738
2005-10-01,80.17888
2005-11-01,80.37858
2005-12-01,80.70294
2006-01-01,81.21732
2006-02-01,81.51143
2006-03-01,81.68692
2006-04-01,82.13594
2006-05-01,82.21582
2006-06-01,82.67574
2006-07-01,83.17801
2006-08-01,83.55078
2006-09-01,83.87999
2006-10-01,84.47303
2006-11-01,84.89422
2006-12-01,85.41707
2007-01-01,85.87698
2007-02-01,86.06821
2007-03-01,86.47729
2007-04-01,87.35234
2007-05-01,87.51694
2007-06-01,87.91876
2007-07-01,88.28549
2007-08-01,89.21016
2007-09-01,89.43164
2007-10-01,89.59624
2007-11-01,89.89882
2007-12-01,90.26433
2008-01-01,90.67341
2008-02-01,91.69854
2008-03-01,92.49734
2008-04-01,93.01414
2008-05-01,93.15816
2008-06-01,93.36997
2008-07-01,93.93155
2008-08-01,94.11309
2008-09-01,94.95909
2008-10-01,96.26743
2008-11-01,96.87984
2008-12-01,99.01481
2009-01-01,100.00000
2009-02-01,100.35341
2009-03-01,101.15221
2009-04-01,101.18973
2009-05-01,101.88565
2009-06-01,102.00184
2009-07-01,102.05872
2009-08-01,102.05509
2009-09-01,102.04662
2009-10-01,102.37098
2009-11-01,102.73528
2009-12-01,102.67477
2010-01-01,102.21848
2010-02-01,102.81879
2010-03-01,102.78369
2010-04-01,103.15163
2010-05-01,103.81366
2010-06-01,104.04483
2010-07-01,104.16102
2010-08-01,104.76980
2010-09-01,105.14741
2010-10-01,105.74046
2010-11-01,105.99100
2010-12-01,106.37708
2011-01-01,106.82005
2011-02-01,107.37074
2011-03-01,107.90690
2011-04-01,108.65971
2011-05-01,109.28060
2011-06-01,110.29967
2011-07-01,112.57504
2011-08-01,115.16145
2011-09-01,115.45919
2011-10-01,115.84164
2011-11-01,116.33787
2011-12-01,116.80747
2012-01-01,117.76602
2012-02-01,118.28403
