DATE,M2SL_PC1
1976-04-01,13.44241
1976-05-01,13.10265
1976-06-01,11.90031
1976-07-01,11.40396
1976-08-01,11.75872
1976-09-01,12.03227
1976-10-01,12.74805
1976-11-01,13.04002
1976-12-01,13.36351
1977-01-01,13.50088
1977-02-01,13.19812
1977-03-01,13.19048
1977-04-01,13.08446
1977-05-01,12.76933
1977-06-01,13.01039
1977-07-01,12.92461
1977-08-01,12.58760
1977-09-01,12.18941
1977-10-01,11.46667
1977-11-01,10.91197
1977-12-01,10.26910
1978-01-01,9.82664
1978-02-01,9.16270
1978-03-01,8.72528
1978-04-01,8.40280
1978-05-01,8.39537
1978-06-01,8.26901
1978-07-01,7.94000
1978-08-01,7.80113
1978-09-01,7.92810
1978-10-01,7.83892
1978-11-01,7.66001
1978-12-01,7.53365
1979-01-01,7.18137
1979-02-01,7.18009
1979-03-01,7.39824
1979-04-01,7.82067
1979-05-01,7.60778
1979-06-01,7.92567
1979-07-01,8.36040
1979-08-01,8.48144
1979-09-01,8.11152
1979-10-01,7.99379
1979-11-01,7.85814
1979-12-01,7.88433
1980-01-01,8.10003
1980-02-01,8.47728
1980-03-01,8.07033
1980-04-01,7.13929
1980-05-01,7.24011
1980-06-01,7.46311
1980-07-01,7.71536
1980-08-01,7.94276
1980-09-01,8.24565
1980-10-01,8.51821
1980-11-01,8.86145
1980-12-01,8.55669
1981-01-01,8.37661
1981-02-01,8.30322
1981-03-01,9.12122
1981-04-01,10.45134
1981-05-01,10.04430
1981-06-01,9.22705
1981-07-01,8.82562
1981-08-01,8.50464
1981-09-01,8.38628
1981-10-01,8.64462
1981-11-01,8.79183
1981-12-01,9.73247
1982-01-01,10.17487
1982-02-01,9.62501
1982-03-01,9.15923
1982-04-01,8.72107
1982-05-01,9.08545
1982-06-01,9.32168
1982-07-01,8.89470
1982-08-01,8.90633
1982-09-01,8.93318
1982-10-01,8.58985
1982-11-01,8.50181
1982-12-01,8.56736
1983-01-01,10.67555
1983-02-01,12.52747
1983-03-01,12.80157
1983-04-01,12.45634
1983-05-01,12.54269
1983-06-01,12.45893
1983-07-01,12.73819
1983-08-01,12.39974
1983-09-01,12.09643
1983-10-01,12.28004
1983-11-01,12.13569
1983-12-01,11.41718
1984-01-01,9.12524
1984-02-01,8.08293
1984-03-01,7.93966
1984-04-01,8.04003
1984-05-01,7.88018
1984-06-01,7.86949
1984-07-01,7.68597
1984-08-01,7.54098
1984-09-01,7.73810
1984-10-01,7.60253
1984-11-01,8.00549
1984-12-01,8.61314
1985-01-01,9.08241
1985-02-01,9.07701
1985-03-01,8.78080
1985-04-01,8.38162
1985-05-01,8.41160
1985-06-01,8.91608
1985-07-01,9.26467
1985-08-01,9.57676
1985-09-01,9.44573
1985-10-01,9.25672
1985-11-01,8.60875
1985-12-01,8.05151
1986-01-01,7.27577
1986-02-01,6.74568
1986-03-01,7.05350
1986-04-01,7.67871
1986-05-01,8.17326
1986-06-01,7.97480
1986-07-01,8.11278
1986-08-01,8.28560
1986-09-01,8.60609
1986-10-01,8.88979
1986-11-01,9.02010
1986-12-01,9.46591
1987-01-01,9.66388
1987-02-01,9.33583
1987-03-01,8.70870
1987-04-01,8.20627
1987-05-01,7.27716
1987-06-01,6.51056
1987-07-01,5.80218
1987-08-01,5.35424
1987-09-01,4.93665
1987-10-01,4.74064
1987-11-01,4.35346
1987-12-01,3.60704
1988-01-01,3.77200
1988-02-01,4.47316
1988-03-01,4.97512
1988-04-01,5.16674
1988-05-01,5.52130
1988-06-01,5.90355
1988-07-01,6.05254
1988-08-01,5.87476
1988-09-01,5.62243
1988-10-01,5.34674
1988-11-01,5.72209
1988-12-01,5.72460
1989-01-01,5.06778
1989-02-01,4.24331
1989-03-01,3.77071
1989-04-01,3.27413
1989-05-01,2.92550
1989-06-01,3.04588
1989-07-01,3.56949
1989-08-01,4.14634
1989-09-01,4.58588
1989-10-01,5.01804
1989-11-01,5.13724
1989-12-01,5.49829
1990-01-01,5.85286
1990-02-01,6.24958
1990-03-01,6.34730
1990-04-01,6.50699
1990-05-01,6.27573
1990-06-01,6.13627
1990-07-01,5.63819
1990-08-01,5.45147
1990-09-01,5.24171
1990-10-01,4.66266
1990-11-01,4.12664
1990-12-01,3.78430
1991-01-01,3.81773
1991-02-01,3.94124
1991-03-01,4.13153
1991-04-01,4.08546
1991-05-01,4.44917
1991-06-01,4.30034
1991-07-01,4.08125
1991-08-01,3.48550
1991-09-01,3.08179
1991-10-01,3.09269
1991-11-01,3.15393
1991-12-01,3.06865
1992-01-01,2.84393
1992-02-01,2.89000
1992-03-01,2.46847
1992-04-01,2.01957
1992-05-01,1.66318
1992-06-01,1.23810
1992-07-01,1.12631
1992-08-01,1.30551
1992-09-01,1.65132
1992-10-01,1.89578
1992-11-01,1.81251
1992-12-01,1.55685
1993-01-01,1.12090
1993-02-01,0.42647
1993-03-01,0.22915
1993-04-01,0.34121
1993-05-01,1.12693
1993-06-01,1.44398
1993-07-01,1.41725
1993-08-01,1.37990
1993-09-01,1.22863
1993-10-01,0.96092
1993-11-01,1.27244
1993-12-01,1.45414
1994-01-01,1.63201
1994-02-01,1.79236
1994-03-01,2.00487
1994-04-01,2.05200
1994-05-01,1.56827
1994-06-01,1.07774
1994-07-01,1.34224
1994-08-01,1.16087
1994-09-01,0.98198
1994-10-01,0.79845
1994-11-01,0.49278
1994-12-01,0.34250
1995-01-01,0.50361
1995-02-01,0.40855
1995-03-01,0.31608
1995-04-01,0.51418
1995-05-01,0.95680
1995-06-01,1.99454
1995-07-01,2.27051
1995-08-01,2.96354
1995-09-01,3.32750
1995-10-01,3.70519
1995-11-01,3.80535
1995-12-01,4.10452
1996-01-01,4.45253
1996-02-01,4.92564
1996-03-01,5.61141
1996-04-01,5.67558
1996-05-01,5.26077
1996-06-01,4.89166
1996-07-01,4.75977
1996-08-01,4.32154
1996-09-01,4.20310
1996-10-01,4.35878
1996-11-01,4.69902
1996-12-01,4.98416
1997-01-01,4.84388
1997-02-01,4.76542
1997-03-01,4.45349
1997-04-01,4.58110
1997-05-01,4.56923
1997-06-01,4.65547
1997-07-01,4.72546
1997-08-01,5.42721
1997-09-01,5.58146
1997-10-01,5.60078
1997-11-01,5.66227
1997-12-01,5.57422
1998-01-01,5.79146
1998-02-01,6.32119
1998-03-01,6.57198
1998-04-01,6.79820
1998-05-01,7.08670
1998-06-01,7.13589
1998-07-01,7.14651
1998-08-01,6.87052
1998-09-01,7.42872
1998-10-01,7.92044
1998-11-01,8.27798
1998-12-01,8.50651
1999-01-01,8.55886
1999-02-01,8.24752
1999-03-01,7.74066
1999-04-01,7.76010
1999-05-01,7.72508
1999-06-01,7.73636
1999-07-01,7.87886
1999-08-01,7.64964
1999-09-01,7.04186
1999-10-01,6.59453
1999-11-01,6.08381
1999-12-01,6.01145
2000-01-01,5.99444
2000-02-01,5.74832
2000-03-01,6.28223
2000-04-01,6.85301
2000-05-01,5.99343
2000-06-01,5.87542
2000-07-01,5.62568
2000-08-01,5.84427
2000-09-01,6.25384
2000-10-01,6.05340
2000-11-01,5.85013
2000-12-01,6.18706
2001-01-01,6.62843
2001-02-01,7.14500
2001-03-01,7.67267
2001-04-01,7.75507
2001-05-01,7.96947
2001-06-01,8.41017
2001-07-01,8.64097
2001-08-01,8.70886
2001-09-01,10.20404
2001-10-01,9.60644
2001-11-01,10.25878
2001-12-01,10.33641
2002-01-01,9.62271
2002-02-01,9.37113
2002-03-01,8.35902
2002-04-01,7.00765
2002-05-01,7.58236
2002-06-01,7.22686
2002-07-01,7.42781
2002-08-01,7.54421
2002-09-01,5.76055
2002-10-01,6.82454
2002-11-01,6.89019
2002-12-01,6.23617
2003-01-01,6.43697
2003-02-01,6.52667
2003-03-01,6.67287
2003-04-01,7.34932
2003-05-01,7.93553
2003-06-01,8.11304
2003-07-01,8.12459
2003-08-01,8.34253
2003-09-01,7.37814
2003-10-01,6.37449
2003-11-01,5.53639
2003-12-01,5.11311
2004-01-01,4.66827
2004-02-01,4.68560
2004-03-01,4.92538
2004-04-01,4.95880
2004-05-01,5.18616
2004-06-01,4.57941
2004-07-01,3.99668
2004-08-01,3.43123
2004-09-01,4.48177
2004-10-01,5.10668
2004-11-01,5.45401
2004-12-01,5.79432
2005-01-01,5.74826
2005-02-01,5.21175
2005-03-01,4.74468
2005-04-01,4.27619
2005-05-01,3.27578
2005-06-01,3.75561
2005-07-01,4.03285
2005-08-01,4.12094
2005-09-01,4.09053
2005-10-01,4.16359
2005-11-01,3.98973
2005-12-01,4.10617
2006-01-01,4.66839
2006-02-01,4.90996
2006-03-01,4.98864
2006-04-01,5.33635
2006-05-01,5.15643
2006-06-01,5.21695
2006-07-01,5.34343
2006-08-01,5.28780
2006-09-01,5.15575
2006-10-01,5.35571
2006-11-01,5.61796
2006-12-01,5.84133
2007-01-01,5.73728
2007-02-01,5.59037
2007-03-01,5.86431
2007-04-01,6.35094
2007-05-01,6.44781
2007-06-01,6.34168
2007-07-01,6.14041
2007-08-01,6.77357
2007-09-01,6.61857
2007-10-01,6.06490
2007-11-01,5.89510
2007-12-01,5.67481
2008-01-01,5.58523
2008-02-01,6.54170
2008-03-01,6.96141
2008-04-01,6.48156
2008-05-01,6.44586
2008-06-01,6.20027
2008-07-01,6.39523
2008-08-01,5.49594
2008-09-01,6.18064
2008-10-01,7.44583
2008-11-01,7.76542
2008-12-01,9.69429
2009-01-01,10.28591
2009-02-01,9.43840
2009-03-01,9.35689
2009-04-01,8.78962
2009-05-01,9.36846
2009-06-01,9.24481
2009-07-01,8.65224
2009-08-01,8.43879
2009-09-01,7.46377
2009-10-01,6.34021
2009-11-01,6.04402
2009-12-01,3.69637
2010-01-01,2.21848
2010-02-01,2.45670
2010-03-01,1.61290
2010-04-01,1.93883
2010-05-01,1.89233
2010-06-01,2.00290
2010-07-01,2.05989
2010-08-01,2.66004
2010-09-01,3.03861
2010-10-01,3.29144
2010-11-01,3.16903
2010-12-01,3.60587
2011-01-01,4.50170
2011-02-01,4.42715
2011-03-01,4.98446
2011-04-01,5.33979
2011-05-01,5.26610
2011-06-01,6.01168
2011-07-01,8.07790
2011-08-01,9.91856
2011-09-01,9.80697
2011-10-01,9.55281
2011-11-01,9.76203
2011-12-01,9.80510
2012-01-01,10.24711
2012-02-01,10.16412
2012-03-01,10.11811
2012-04-01,9.96001
2012-05-01,9.68635
2012-06-01,9.43885
2012-07-01,8.01385
2012-08-01,6.33519
2012-09-01,6.92370
2012-10-01,7.20905
2012-11-01,7.36140
2012-12-01,8.23326
2013-01-01,7.61436
2013-02-01,7.11238
2013-03-01,7.35297
2013-04-01,7.12108
2013-05-01,7.14372
2013-06-01,6.94133
2013-07-01,6.71955
2013-08-01,6.54780
2013-09-01,6.19988
2013-10-01,6.66485
2013-11-01,6.13475
2013-12-01,5.45009
2014-01-01,5.67652
2014-02-01,6.50064
2014-03-01,6.17285
2014-04-01,6.34888
2014-05-01,6.62972
2014-06-01,6.57422
2014-07-01,6.58932
2014-08-01,6.28177
2014-09-01,6.08718
2014-10-01,5.53850
2014-11-01,5.82124
2014-12-01,5.92828
2015-01-01,6.02317
2015-02-01,6.31284
2015-03-01,6.06865
2015-04-01,5.95830
2015-05-01,5.60770
2015-06-01,5.52032
2015-07-01,5.40933
2015-08-01,5.58581
2015-09-01,5.75270
2015-10-01,5.48505
2015-11-01,5.89788
2015-12-01,5.67449
2016-01-01,6.18730
2016-02-01,5.75237
2016-03-01,6.13763
2016-04-01,6.46661
2016-05-01,6.75102
2016-06-01,6.91144
2016-07-01,6.93723
2016-08-01,7.20887
2016-09-01,7.22120
2016-10-01,7.50349
2016-11-01,7.29498
2016-12-01,7.04617
2017-01-01,6.56125
2017-02-01,6.43674
2017-03-01,6.45743
2017-04-01,6.22360
2017-05-01,6.07165
2017-06-01,5.72772
2017-07-01,5.71249
2017-08-01,5.42804
2017-09-01,5.26219
2017-10-01,5.11172
2017-11-01,4.74046
2017-12-01,4.82389
2018-01-01,4.39083
2018-02-01,4.13534
2018-03-01,4.03537
2018-04-01,3.80135
2018-05-01,3.87569
2018-06-01,4.14439
2018-07-01,3.92710
2018-08-01,3.82705
2018-09-01,3.73349
2018-10-01,3.38807
2018-11-01,3.27319
2018-12-01,3.73023
2019-01-01,4.15852
2019-02-01,4.11436
2019-03-01,4.00786
2019-04-01,4.06888
2019-05-01,4.25688
2019-06-01,4.67918
2019-07-01,5.00106
2019-08-01,5.18912
2019-09-01,5.59722
2019-10-01,6.45714
2019-11-01,7.11598
2019-12-01,6.73509
