DATE,M2
2006-01-02,6682.9
2006-01-09,6700.7
2006-01-16,6713.1
2006-01-23,6723.3
2006-01-30,6712.3
2006-02-06,6714.9
2006-02-13,6720.4
2006-02-20,6744.0
2006-02-27,6754.5
2006-03-06,6752.0
2006-03-13,6737.7
2006-03-20,6746.8
2006-03-27,6756.9
2006-04-03,6756.2
2006-04-10,6772.1
2006-04-17,6790.6
2006-04-24,6801.6
2006-05-01,6795.7
2006-05-08,6775.0
2006-05-15,6790.3
2006-05-22,6802.5
2006-05-29,6799.7
2006-06-05,6807.3
2006-06-12,6818.7
2006-06-19,6830.3
2006-06-26,6850.3
2006-07-03,6849.8
2006-07-10,6869.3
2006-07-17,6877.2
2006-07-24,6880.8
2006-07-31,6872.3
2006-08-07,6883.1
2006-08-14,6891.5
2006-08-21,6916.1
2006-08-28,6914.3
2006-09-04,6922.8
2006-09-11,6922.2
2006-09-18,6924.8
2006-09-25,6936.3
2006-10-02,6947.8
2006-10-09,6972.7
2006-10-16,6980.4
2006-10-23,6987.2
2006-10-30,6984.8
2006-11-06,6994.5
2006-11-13,6999.9
2006-11-20,7014.5
2006-11-27,7037.7
2006-12-04,7033.0
2006-12-11,7038.5
2006-12-18,7049.4
2006-12-25,7076.0
2007-01-01,7083.9
2007-01-08,7085.1
2007-01-15,7102.8
2007-01-22,7098.8
2007-01-29,7094.8
2007-02-05,7102.8
2007-02-12,7103.8
2007-02-19,7109.2
2007-02-26,7127.2
2007-03-05,7111.0
2007-03-12,7121.2
2007-03-19,7135.8
2007-03-26,7173.4
2007-04-02,7186.5
2007-04-09,7202.4
2007-04-16,7221.2
2007-04-23,7236.1
2007-04-30,7218.5
2007-05-07,7222.0
2007-05-14,7224.1
2007-05-21,7236.4
2007-05-28,7235.9
2007-06-04,7244.0
2007-06-11,7253.6
2007-06-18,7263.0
2007-06-25,7272.7
2007-07-02,7284.9
2007-07-09,7279.6
2007-07-16,7291.0
2007-07-23,7300.0
2007-07-30,7306.0
2007-08-06,7323.0
2007-08-13,7342.7
2007-08-20,7379.7
2007-08-27,7416.9
2007-09-03,7395.9
2007-09-10,7384.0
2007-09-17,7388.5
2007-09-24,7386.3
2007-10-01,7396.2
2007-10-08,7402.6
2007-10-15,7391.8
2007-10-22,7392.9
2007-10-29,7423.1
2007-11-05,7409.2
2007-11-12,7408.5
2007-11-19,7427.4
2007-11-26,7452.8
2007-12-03,7441.4
2007-12-10,7453.4
2007-12-17,7456.6
2007-12-24,7460.9
2007-12-31,7468.2
2008-01-07,7464.4
2008-01-14,7459.6
2008-01-21,7491.2
2008-01-28,7525.5
2008-02-04,7554.0
2008-02-11,7563.0
2008-02-18,7565.3
2008-02-25,7596.9
2008-03-03,7606.9
2008-03-10,7619.8
2008-03-17,7644.7
2008-03-24,7659.7
2008-03-31,7661.0
2008-04-07,7679.9
2008-04-14,7681.9
2008-04-21,7706.7
2008-04-28,7675.6
2008-05-05,7673.9
2008-05-12,7687.7
2008-05-19,7694.6
2008-05-26,7715.0
2008-06-02,7711.9
2008-06-09,7709.6
2008-06-16,7711.9
2008-06-23,7721.2
2008-06-30,7716.6
2008-07-07,7738.4
2008-07-14,7749.4
2008-07-21,7776.0
2008-07-28,7773.8
2008-08-04,7775.7
2008-08-11,7781.6
2008-08-18,7771.7
2008-08-25,7778.6
2008-09-01,7771.6
2008-09-08,7752.5
2008-09-15,7768.3
2008-09-22,7929.0
2008-09-29,7936.1
2008-10-06,7905.0
2008-10-13,7947.6
2008-10-20,7991.2
2008-10-27,7963.6
2008-11-03,7956.5
2008-11-10,7970.2
2008-11-17,7988.3
2008-11-24,8017.1
2008-12-01,8073.5
2008-12-08,8130.8
2008-12-15,8171.7
2008-12-22,8201.1
2008-12-29,8216.5
2009-01-05,8248.5
2009-01-12,8243.9
2009-01-19,8257.5
2009-01-26,8283.0
2009-02-02,8280.1
2009-02-09,8283.6
2009-02-16,8288.2
2009-02-23,8291.0
2009-03-02,8313.2
2009-03-09,8350.0
2009-03-16,8384.2
2009-03-23,8372.1
2009-03-30,8339.6
2009-04-06,8340.8
2009-04-13,8350.2
2009-04-20,8362.5
2009-04-27,8370.2
2009-05-04,8398.8
2009-05-11,8413.5
2009-05-18,8414.7
2009-05-25,8428.2
2009-06-01,8429.1
2009-06-08,8439.3
2009-06-15,8439.0
2009-06-22,8430.4
2009-06-29,8403.4
2009-07-06,8419.3
2009-07-13,8422.5
2009-07-20,8434.7
2009-07-27,8450.5
2009-08-03,8434.7
2009-08-10,8442.9
2009-08-17,8444.3
2009-08-24,8417.9
2009-08-31,8422.5
2009-09-07,8423.8
2009-09-14,8436.0
2009-09-21,8434.0
2009-09-28,8431.1
2009-10-05,8435.1
2009-10-12,8448.8
2009-10-19,8464.1
2009-10-26,8470.7
2009-11-02,8469.3
2009-11-09,8484.7
2009-11-16,8490.8
2009-11-23,8491.8
2009-11-30,8491.8
2009-12-07,8505.5
2009-12-14,8495.6
2009-12-21,8482.4
2009-12-28,8469.3
2010-01-04,8438.7
2010-01-11,8432.0
2010-01-18,8435.6
2010-01-25,8454.0
2010-02-01,8468.4
2010-02-08,8474.0
2010-02-15,8508.5
2010-02-22,8507.7
2010-03-01,8495.1
2010-03-08,8486.1
2010-03-15,8491.1
2010-03-22,8490.1
2010-03-29,8497.6
2010-04-05,8507.9
2010-04-12,8515.1
2010-04-19,8509.3
2010-04-26,8537.0
2010-05-03,8553.3
2010-05-10,8563.7
2010-05-17,8586.9
2010-05-24,8572.9
2010-05-31,8596.6
2010-06-07,8596.3
2010-06-14,8584.5
2010-06-21,8606.3
2010-06-28,8605.8
2010-07-05,8573.5
2010-07-12,8595.5
2010-07-19,8602.1
2010-07-26,8623.6
2010-08-02,8635.4
2010-08-09,8648.5
2010-08-16,8656.2
2010-08-23,8656.8
2010-08-30,8668.3
2010-09-06,8673.5
2010-09-13,8683.7
2010-09-20,8683.2
2010-09-27,8697.1
2010-10-04,8713.7
2010-10-11,8733.6
2010-10-18,8740.0
2010-10-25,8741.3
2010-11-01,8746.4
2010-11-08,8744.4
2010-11-15,8749.7
2010-11-22,8761.1
2010-11-29,8774.0
2010-12-06,8771.0
